author_img,text,author_name,tags,likes
https://images.gr-assets.com/authors/1521044377p2/3565.jpg,“Be yourself; everyone else is already taken.”,Oscar Wilde,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/quotes/1511992603p2/8630.jpg,"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",Marilyn Monroe,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1429114964p2/9810.jpg,“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,Albert Einstein,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1315160559p2/22302.jpg,"“So many books, so little time.”",Frank Zappa,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1197881416p2/13755.jpg,“A room without books is like a body without a soul.”,Marcus Tullius Cicero,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1331977133p2/5768330.jpg,"“Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”",Bernard M. Baruch,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1282396130p2/1744830.jpg,"“You've gotta dance like there's nobody watching,",William W. Purkey,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1193930952p2/61105.jpg,“You know you're in love when you can't fall asleep because reality is finally better than your dreams.”,Dr. Seuss,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1198551937p2/259666.jpg,"“You only live once, but if you do it right, once is enough.”",Mae West,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1356810912p2/5810891.jpg,“Be the change that you wish to see in the world.”,Mahatma Gandhi,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1605640483p2/7715.jpg,“In three words I can sum up everything I've learned about life: it goes on.”,Robert Frost,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1596216614p2/1077326.jpg,"“If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”","J.K. Rowling,","attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1606568448p2/957894.jpg,“Don’t walk in front of me… I may not follow,Albert Camus,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1322103868p2/1244.jpg,"“If you tell the truth, you don't have to remember anything.”",Mark Twain,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/quotes/1387503187p2/10554.jpg,"“Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”","C.S. Lewis,","attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1379017377p2/3503.jpg,"“I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”",Maya Angelou,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1216826209p2/114059.jpg,“A friend is someone who knows all about you and still loves you.”,Elbert Hubbard,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1521044377p2/3565.jpg,"“To live is the rarest thing in the world. Most people exist, that is all.”",Oscar Wilde,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1521044377p2/3565.jpg,“Always forgive your enemies; nothing annoys them so much.”,Oscar Wilde,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
https://images.gr-assets.com/authors/1356810912p2/5810891.jpg,“Live as if you were to die tomorrow. Learn as if you were to live forever.”,Mahatma Gandhi,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator,attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst,attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe,books,humor,attributed-no-source,books,simile,soul,ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter,dance,heaven,hurt,inspirational,life,love,sing,attributed-no-source,dreams,love,reality,sleep,humor,life,action,change,inspirational,philosophy,wish,life,from-charles-bayard-mitchell,attributed-no-source,friends,friendship,misattributed-albert-camus,lies,lying,memory,truth,friendship,friend,friendship,knowledge,love,life,attributed-no-source,enemies,forgiveness,strategy,carpe-diem,education,inspirational,learning,darkness,drive-out,hate,inspirational,light,love,peace,inspirational,love,inspirational,music,philosophy,intelligence,self-deprecation,accomplishment,attributed-no-source,be-yourself,conformity,individuality,advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers,humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein,attributed-no-source,misattributed-marilyn-monroe,actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail,life,love",162293 likes
